codigo,descricao
A00,Cólera
A01,Febre tifoide e paratifoide
A02,Salmonelose
A03,Shiguelose
A04,Infecções por Escherichia coli
A05,Intoxicação alimentar bacteriana
A06,Amebíase
A07,Infecções intestinais por protozoários
A08,Infecções intestinais virais
A09,Diarréia e gastroenterite de origem infecciosa
A15,Tuberculose respiratória
A16,Tuberculose das vias respiratórias
A17,Tuberculose do sistema nervoso
A18,Tuberculose de outros órgãos
A19,Tuberculose miliar
A20,Peste
A21,Tularemia
A22,Carbúnculo
A23,Brucelose
A24,Mormo
A25,Febre por mordedura de rato
A26,Erisipelóide
A27,Leptospirose
A28,Outras zoonoses bacterianas
A30,Hanseníase
A31,Infecções por micobactérias atípicas
A32,Listeriose
A33,Tétano neonatal
A34,Tétano obstétrico
A35,Tétano
A36,Difteria
A37,Coqueluche
A38,Scarlatina
A39,Infecção meningocócica
A40,Septicemia estreptocócica
A41,Septicemia por outros agentes
A42,Nocardiose
A43,Actinomicose
A44,Bartonelose
A45,Infecção por microrganismo
A46,Erisipela
A48,Outras doenças bacterianas
A49,Infecção bacteriana de localização não especificada
A50,Sífilis congênita
A51,Sífilis precoce
A52,Sífilis tardia
A53,Sífilis não especificada
A54,Infecção gonocócica
A55,Linfogranuloma venéreo
A56,Outras infecções sexualmente transmissíveis
A57,Clamídia
A58,Granuloma inguinal
A59,Tricomoníase
A60,Herpes genital
A63,Outras doenças venéreas
A64,Doença venérea não especificada
A65,Febre recorrente
A66,Bouba
A67,Pinta
A68,Febre por carrapato
A69,Outras espiroquetoses
A70,Infecção por Chlamydia psittaci
A71,Tracoma
A72,Febre tifoide
A74,Infecção por Chlamydia
A75,Tifo
A77,Febre maculosa
A78,Febre Q
A79,Riquetsioses
A80,Polio
A81,Infecções virais do sistema nervoso
A82,Rabia
A83,Encefalite viral
A84,Encefalite por carrapato
A85,Outras encefalites
A86,Encefalite viral não especificada
A87,Meningite viral
A88,Outras infecções virais do SNC
A89,Infecção viral do SNC não especificada
A90,Dengue
A91,Dengue hemorrágica
A92,Outras febres virais
A93,Outras febres virais
A94,Febre amarela
A95,Febre hemorrágica viral
A96,Febre hemorrágica viral
A97,Febre hemorrágica viral
A98,Outras febres hemorrágicas
A99,Febre viral não especificada
B00,Herpes simplex
B01,Varicela
B02,Herpes zoster
B03,Varíola
B04,Monkeypox
B05,Sarampo
B06,Rubéola
B07,Verruga viral
B08,Outras infecções virais
B09,Infecção viral não especificada
B15,Hepatite A
B16,Hepatite B
B17,Hepatite C
B18,Hepatite D
B19,Hepatite viral
B20,Infecção pelo HIV
B21,HIV com neoplasias
B22,HIV com outras doenças
B23,HIV com outras condições
B24,HIV não especificado
B25,Doença por citomegalovírus
B26,Caxumba
B27,Mononucleose
B30,Conjuntivite viral
B33,Infecção por vírus
B34,Infecção viral não especificada
B35,Dermatofitose
B36,Outras micoses
B37,Candidíase
B38,Coccidioidomicose
B39,Histoplasmose
B40,Blastomicose
B41,Paracoccidioidomicose
B42,Sporotrichose
B43,Cromomicose
B44,Aspergilose
B45,Criptococose
B46,Zigomicose
B47,Actinomicose
B48,Outras micoses
B49,Micose não especificada
B50,Malária por Plasmodium falciparum
B51,Malária por Plasmodium vivax
B52,Malária por Plasmodium malariae
B53,Malária
B54,Malária não especificada
B55,Leishmaniose
B56,Doença de Chagas
B57,Tripanossomíase
B58,Toxoplasmose
B59,Pneumocistose
B60,Outras protozooses
B64,Protozoose não especificada
B65,Esquistossomose
B66,Outras trematodoses
B67,Equinococose
B68,Teníase
B69,Cisticercose
B70,Difilobotríase
B71,Outras cestodoses
B72,Dracunculose
B73,Oncocercose
B74,Filariose
B75,Tricinose
B76,Ancilostomíase
B77,Ascariase
B78,Estrongiloidíase
B79,Tricuríase
B80,Oxiuríase
B81,Outras helmintíases
B82,Helmintíase não especificada
B83,Outras helmintíases
B85,Pediculose
B86,Escabiose
B87,Infecção por dípteros
B88,Infecção por artrópodes
B89,Infestação não especificada
B90,Sequelas de tuberculose
B91,Sequelas de polio
B92,Sequelas de hanseníase
B94,Sequelas de outras doenças infecciosas
B95,Estreptococos
B96,Outros agentes bacterianos
B97,Agentes virais
B99,Doença infecciosa não especificada
C00,Neoplasia maligna do lábio
C01,Neoplasia maligna da língua
C02,Neoplasia maligna da boca
C03,Neoplasia maligna da gengiva
C04,Neoplasia maligna do palato
C05,Neoplasia maligna do palato mole
C06,Neoplasia maligna da amígdala
C07,Neoplasia maligna da glândula salivar
C08,Neoplasia maligna da faringe
C09,Neoplasia maligna da faringe
C10,Neoplasia maligna da faringe
C11,Neoplasia maligna da nasofaringe
C12,Neoplasia maligna da faringe
C13,Neoplasia maligna da faringe
C14,Neoplasia maligna da faringe
C15,Neoplasia maligna do esôfago
C16,Neoplasia maligna do estômago
C17,Neoplasia maligna do intestino delgado
C18,Neoplasia maligna do cólon
C19,Neoplasia maligna do reto
C20,Neoplasia maligna do ânus
C21,Neoplasia maligna do ânus
C22,Neoplasia maligna do fígado
C23,Neoplasia maligna da vesícula biliar
C24,Neoplasia maligna das vias biliares
C25,Neoplasia maligna do pâncreas
C26,Neoplasia maligna do aparelho digestivo
C30,Neoplasia maligna da cavidade nasal
C31,Neoplasia maligna dos seios da face
C32,Neoplasia maligna da laringe
C33,Neoplasia maligna da traquéia
C34,Neoplasia maligna dos brônquios
C37,Neoplasia maligna do timo
C38,Neoplasia maligna do mediastino
C39,Neoplasia maligna do aparelho respiratório
C40,Neoplasia maligna dos ossos
C41,Neoplasia maligna dos ossos
C43,Melanoma maligno
C44,Outras neoplasias malignas da pele
C45,Mesotelioma
C46,Sarcoma de Kaposi
C47,Neoplasia maligna do tecido nervoso
C48,Neoplasia maligna do retroperitônio
C49,Neoplasia maligna do tecido conjuntivo
C50,Neoplasia maligna da mama
C51,Neoplasia maligna da vagina
C52,Neoplasia maligna da vulva
C53,Neoplasia maligna do colo do útero
C54,Neoplasia maligna do corpo do útero
C55,Neoplasia maligna do útero
C56,Neoplasia maligna do ovário
C57,Neoplasia maligna do aparelho genital feminino
C58,Neoplasia maligna da placenta
C60,Neoplasia maligna do pênis
C61,Neoplasia maligna da próstata
C62,Neoplasia maligna do testículo
C63,Neoplasia maligna do aparelho genital masculino
C64,Neoplasia maligna do rim
C65,Neoplasia maligna da pelve renal
C66,Neoplasia maligna do ureter
C67,Neoplasia maligna da bexiga
C68,Neoplasia maligna do trato urinário
C69,Neoplasia maligna do olho
C70,Neoplasia maligna das meninges
C71,Neoplasia maligna do encéfalo
C72,Neoplasia maligna da medula espinhal
C73,Neoplasia maligna da tireoide
C74,Neoplasia maligna da suprarrenal
C75,Neoplasia maligna de outras glândulas
C76,Neoplasia maligna de localização mal definida
C77,Neoplasia maligna de linfonodos
C78,Neoplasia maligna de órgãos respiratórios
C79,Neoplasia maligna de outros órgãos
C80,Neoplasia maligna sem especificação
C81,Doença de Hodgkin
C82,Linfoma não Hodgkin
C83,Linfoma não Hodgkin
C84,Linfoma de células T
C85,Linfoma não Hodgkin
C86,Linfoma de células NK
C88,Doenças imunoproliferativas
C90,Mieloma múltiplo
C91,Leucemia linfóide
C92,Leucemia mielóide
C93,Leucemia monocítica
C94,Leucemia de células
C95,Leucemia não especificada
C96,Outras neoplasias malignas
C97,Neoplasias malignas de múltiplos sítios
D00,Carcinoma in situ
D01,Carcinoma in situ
D02,Carcinoma in situ
D03,Melanoma in situ
D04,Carcinoma in situ da pele
D05,Carcinoma in situ da mama
D06,Carcinoma in situ do colo do útero
D07,Carcinoma in situ de outros órgãos
D09,Carcinoma in situ de outros locais
D10,Neoplasia benigna da boca
D11,Neoplasia benigna da faringe
D12,Neoplasia benigna do cólon
D13,Neoplasia benigna do aparelho digestivo
D14,Neoplasia benigna do aparelho respiratório
D15,Neoplasia benigna do tórax
D16,Neoplasia benigna dos ossos
D17,Neoplasia benigna do tecido adiposo
D18,Hemangioma
D19,Neoplasia benigna do tecido conjuntivo
D20,Neoplasia benigna do retroperitônio
D21,Neoplasia benigna do tecido conjuntivo
D22,Neoplasia benigna da pele
D23,Neoplasia benigna da pele
D24,Neoplasia benigna da mama
D25,Leiomioma do útero
D26,Neoplasia benigna do útero
D27,Neoplasia benigna do ovário
D28,Neoplasia benigna do aparelho genital
D29,Neoplasia benigna do aparelho genital masculino
D30,Neoplasia benigna do trato urinário
D31,Neoplasia benigna do olho
D32,Neoplasia benigna das meninges
D33,Neoplasia benigna do encéfalo
D34,Neoplasia benigna da tireoide
D35,Neoplasia benigna das glândulas
D36,Neoplasia benigna de outros locais
D37,Neoplasia de comportamento incerto
D38,Neoplasia de comportamento incerto
D39,Neoplasia de comportamento incerto
D40,Neoplasia de comportamento incerto
D41,Neoplasia de comportamento incerto
D42,Neoplasia de comportamento incerto
D43,Neoplasia de comportamento incerto
D44,Neoplasia de comportamento incerto
D45,Policitemia vera
D46,Síndrome mielodisplásica
D47,Neoplasia de comportamento incerto
D48,Neoplasia de comportamento incerto
D50,Anemia ferropriva
D51,Anemia megaloblástica
D52,Anemia por deficiência de folato
D53,Outras anemias nutricionais
D55,Anemia hemolítica hereditária
D56,Talassemia
D57,Anemia falciforme
D58,Outras anemias hemolíticas hereditárias
D59,Anemia hemolítica adquirida
D60,Aplasia adquirida da medula óssea
D61,Outras anemias aplásicas
D62,Anemia aguda pós-hemorrágica
D63,Anemia em doenças crônicas
D64,Outras anemias
D65,Coagulação intravascular disseminada
D66,Deficiência de fator VIII
D67,Deficiência de fator IX
D68,Outros defeitos da coagulação
D69,Púrpura e outras hemorragias
D70,Neutropenia
